Arrests by Offense,Spotsylvania,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,21,1
"Sex Offenses, Forcible",14,0
Robbery,21,1
Aggravated Assault,68,7
Simple Assault/Intimidation,229,25
Arson,0,0
Extortion/Blackmail,0,0
Burglary,19,8
Larceny,389,19
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,17,0
Fraud,32,1
Embezzlement,15,1
Stolen Property,8,1
Vandalism,20,6
Drug/Narcotic Offenses,562,12
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,22,0
TOTAL GROUP A,1443,82
Bad Checks,21,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,18,5
Driving Under Influence,264,1
Drunkenness,185,0
"Family Offenses, Nonforcible",18,0
Liquor Laws Violations,25,5
Peeping Tom,0,0
Runaway,0,7
Trespass of Real Property,32,1
Conspiracy,7,2
All Other (except Traffic),473,4
TOTAL GROUP B,1043,25
GRAND TOTAL,2486,107
