Arrests by Offense,Halifax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,2
Robbery,6,1
Aggravated Assault,31,0
Simple Assault/Intimidation,148,11
Arson,1,0
Extortion/Blackmail,1,0
Burglary,15,0
Larceny,138,12
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,7,0
Fraud,4,0
Embezzlement,6,0
Stolen Property,3,0
Vandalism,22,0
Drug/Narcotic Offenses,247,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,21,1
TOTAL GROUP A,663,36
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,14,2
Driving Under Influence,136,0
Drunkenness,155,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,7,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,28,2
Conspiracy,0,0
All Other (except Traffic),447,8
TOTAL GROUP B,792,14
GRAND TOTAL,1455,50
