Arrests by Offense,King William,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,3
Robbery,0,0
Aggravated Assault,4,0
Simple Assault/Intimidation,67,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,7,1
Larceny,22,2
Motor Vehicle Theft,1,6
Counterfeiting/Forgery,0,0
Fraud,7,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,3,0
Drug/Narcotic Offenses,15,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,136,21
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,1
Driving Under Influence,34,1
Drunkenness,21,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,4,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,8,0
Conspiracy,0,0
All Other (except Traffic),67,1
TOTAL GROUP B,135,8
GRAND TOTAL,271,29
