Arrests by Offense,York,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,7,1
"Sex Offenses, Forcible",9,6
Robbery,3,1
Aggravated Assault,9,2
Simple Assault/Intimidation,160,67
Arson,2,2
Extortion/Blackmail,2,0
Burglary,42,14
Larceny,400,72
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,47,0
Fraud,57,6
Embezzlement,35,0
Stolen Property,5,0
Vandalism,21,16
Drug/Narcotic Offenses,187,33
"Sex Offenses, Nonforcible",1,0
Pornography,2,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,1
TOTAL GROUP A,1009,222
Bad Checks,10,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,4
Driving Under Influence,151,4
Drunkenness,58,0
"Family Offenses, Nonforcible",7,0
Liquor Laws Violations,36,29
Peeping Tom,2,0
Runaway,0,39
Trespass of Real Property,14,6
Conspiracy,0,0
All Other (except Traffic),76,24
TOTAL GROUP B,357,106
GRAND TOTAL,1366,328
