Arrests by Offense,Grayson,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,0
Robbery,2,0
Aggravated Assault,8,0
Simple Assault/Intimidation,44,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,0
Larceny,16,0
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,3,0
Fraud,3,0
Embezzlement,0,0
Stolen Property,3,0
Vandalism,4,0
Drug/Narcotic Offenses,35,2
"Sex Offenses, Nonforcible",1,0
Pornography,1,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,136,4
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,1
Driving Under Influence,34,1
Drunkenness,32,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,3,0
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),73,4
TOTAL GROUP B,154,7
GRAND TOTAL,290,11
