Arrests by Offense,Brunswick ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,7,0
Simple Assault/Intimidation,11,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,1
Larceny,18,0
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,5,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,0,1
Vandalism,9,3
Drug/Narcotic Offenses,54,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,2,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,131,7
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,8,0
Driving Under Influence,59,0
Drunkenness,28,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,2,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,0
Conspiracy,0,0
All Other (except Traffic),114,2
TOTAL GROUP B,219,2
GRAND TOTAL,350,9
