Arrests by Offense,Henry,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",6,3
Robbery,11,8
Aggravated Assault,42,2
Simple Assault/Intimidation,358,12
Arson,0,0
Extortion/Blackmail,0,0
Burglary,54,5
Larceny,274,6
Motor Vehicle Theft,13,2
Counterfeiting/Forgery,12,0
Fraud,48,2
Embezzlement,18,0
Stolen Property,0,0
Vandalism,33,1
Drug/Narcotic Offenses,123,1
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,26,0
TOTAL GROUP A,1032,42
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,0
Driving Under Influence,79,1
Drunkenness,283,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,2,0
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,19,0
Conspiracy,1,0
All Other (except Traffic),616,14
TOTAL GROUP B,1011,17
GRAND TOTAL,2043,59
