Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",10,0
Robbery,2,0
Aggravated Assault,29,0
Simple Assault/Intimidation,257,13
Arson,2,0
Extortion/Blackmail,0,0
Burglary,29,2
Larceny,329,2
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,10,0
Fraud,114,0
Embezzlement,6,0
Stolen Property,5,0
Vandalism,26,3
Drug/Narcotic Offenses,198,4
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,2
TOTAL GROUP A,1044,26
Bad Checks,61,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,22,1
Driving Under Influence,96,0
Drunkenness,229,1
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,10,2
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,45,0
Conspiracy,0,0
All Other (except Traffic),1166,57
TOTAL GROUP B,1632,63
GRAND TOTAL,2676,89
