Arrests by Offense,Wythe,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",4,0
Robbery,4,0
Aggravated Assault,23,0
Simple Assault/Intimidation,69,8
Arson,1,0
Extortion/Blackmail,0,0
Burglary,11,0
Larceny,78,1
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,5,0
Fraud,11,0
Embezzlement,2,0
Stolen Property,5,0
Vandalism,7,3
Drug/Narcotic Offenses,265,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,22,0
TOTAL GROUP A,514,17
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,0
Driving Under Influence,151,0
Drunkenness,159,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,21,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,3,3
Conspiracy,1,0
All Other (except Traffic),212,4
TOTAL GROUP B,551,9
GRAND TOTAL,1065,26
