Arrests by Offense,Gloucester,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",1,0
Robbery,2,0
Aggravated Assault,12,2
Simple Assault/Intimidation,142,18
Arson,0,0
Extortion/Blackmail,0,0
Burglary,37,12
Larceny,121,24
Motor Vehicle Theft,9,0
Counterfeiting/Forgery,2,0
Fraud,14,0
Embezzlement,5,0
Stolen Property,0,0
Vandalism,7,5
Drug/Narcotic Offenses,152,20
"Sex Offenses, Nonforcible",1,0
Pornography,2,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,3
TOTAL GROUP A,523,85
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,32,3
Driving Under Influence,135,0
Drunkenness,57,1
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,5,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,11,3
Conspiracy,0,0
All Other (except Traffic),115,2
TOTAL GROUP B,363,10
GRAND TOTAL,886,95
