Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,11,0
Manslaughter,0,0
Kidnaping,100,0
"Sex Offenses, Forcible",68,18
Robbery,125,36
Aggravated Assault,275,22
Simple Assault/Intimidation,1966,283
Arson,2,1
Extortion/Blackmail,3,0
Burglary,209,58
Larceny,2856,575
Motor Vehicle Theft,92,26
Counterfeiting/Forgery,210,4
Fraud,485,23
Embezzlement,212,2
Stolen Property,75,32
Vandalism,210,183
Drug/Narcotic Offenses,3433,444
"Sex Offenses, Nonforcible",7,0
Pornography,26,5
Gambling,18,2
Prostitution,143,1
Bribery,1,0
Weapon Law Violations,85,22
TOTAL GROUP A,10612,1737
Bad Checks,34,0
Curfew/Loitering/Vagrancy,2,1
Disorderly Conduct,190,80
Driving Under Influence,3081,22
Drunkenness,3060,55
"Family Offenses, Nonforcible",61,10
Liquor Laws Violations,850,256
Peeping Tom,4,0
Runaway,0,1094
Trespass of Real Property,522,156
Conspiracy,6,1
All Other (except Traffic),4747,401
TOTAL GROUP B,12557,2076
GRAND TOTAL,23169,3813
