Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",7,1
Robbery,1,0
Aggravated Assault,25,1
Simple Assault/Intimidation,270,6
Arson,1,1
Extortion/Blackmail,0,0
Burglary,111,3
Larceny,342,4
Motor Vehicle Theft,4,2
Counterfeiting/Forgery,30,0
Fraud,19,0
Embezzlement,10,0
Stolen Property,8,0
Vandalism,31,2
Drug/Narcotic Offenses,404,11
"Sex Offenses, Nonforcible",1,0
Pornography,7,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,0
TOTAL GROUP A,1292,31
Bad Checks,74,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,14,4
Driving Under Influence,166,0
Drunkenness,126,4
"Family Offenses, Nonforcible",14,0
Liquor Laws Violations,7,3
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,33,0
Conspiracy,0,0
All Other (except Traffic),211,26
TOTAL GROUP B,646,37
GRAND TOTAL,1938,68
