Arrests by Offense,Loudoun,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,10,1
"Sex Offenses, Forcible",13,3
Robbery,21,5
Aggravated Assault,66,4
Simple Assault/Intimidation,431,13
Arson,1,0
Extortion/Blackmail,2,0
Burglary,44,1
Larceny,638,44
Motor Vehicle Theft,15,3
Counterfeiting/Forgery,18,0
Fraud,91,3
Embezzlement,53,1
Stolen Property,5,1
Vandalism,36,3
Drug/Narcotic Offenses,679,33
"Sex Offenses, Nonforcible",2,0
Pornography,7,0
Gambling,0,0
Prostitution,15,0
Bribery,0,0
Weapon Law Violations,27,1
TOTAL GROUP A,2177,116
Bad Checks,23,0
Curfew/Loitering/Vagrancy,0,8
Disorderly Conduct,38,0
Driving Under Influence,687,3
Drunkenness,616,6
"Family Offenses, Nonforcible",12,1
Liquor Laws Violations,158,19
Peeping Tom,1,1
Runaway,0,121
Trespass of Real Property,81,5
Conspiracy,5,0
All Other (except Traffic),1889,224
TOTAL GROUP B,3510,388
GRAND TOTAL,5687,504
