Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,0
Robbery,1,0
Aggravated Assault,5,0
Simple Assault/Intimidation,152,14
Arson,0,2
Extortion/Blackmail,0,0
Burglary,14,0
Larceny,171,16
Motor Vehicle Theft,7,1
Counterfeiting/Forgery,3,0
Fraud,20,0
Embezzlement,6,0
Stolen Property,0,0
Vandalism,26,2
Drug/Narcotic Offenses,367,12
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,1
TOTAL GROUP A,799,48
Bad Checks,4,0
Curfew/Loitering/Vagrancy,0,20
Disorderly Conduct,10,3
Driving Under Influence,174,1
Drunkenness,267,0
"Family Offenses, Nonforcible",6,0
Liquor Laws Violations,32,6
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,27,3
Conspiracy,0,0
All Other (except Traffic),542,15
TOTAL GROUP B,1062,49
GRAND TOTAL,1861,97
