Arrests by Offense,Isle of Wight,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",5,1
Robbery,0,0
Aggravated Assault,11,1
Simple Assault/Intimidation,82,3
Arson,1,0
Extortion/Blackmail,0,0
Burglary,5,2
Larceny,33,3
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,2,0
Fraud,8,0
Embezzlement,3,0
Stolen Property,3,1
Vandalism,5,0
Drug/Narcotic Offenses,108,7
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,1
TOTAL GROUP A,290,20
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,0
Driving Under Influence,111,0
Drunkenness,37,0
"Family Offenses, Nonforcible",8,0
Liquor Laws Violations,12,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),82,0
TOTAL GROUP B,264,6
GRAND TOTAL,554,26
