Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,47,8
"Sex Offenses, Forcible",59,24
Robbery,66,6
Aggravated Assault,127,16
Simple Assault/Intimidation,1185,867
Arson,12,19
Extortion/Blackmail,0,0
Burglary,170,58
Larceny,1409,486
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,124,10
Fraud,292,25
Embezzlement,110,4
Stolen Property,59,18
Vandalism,125,151
Drug/Narcotic Offenses,2131,320
"Sex Offenses, Nonforcible",4,2
Pornography,8,1
Gambling,0,0
Prostitution,39,0
Bribery,2,0
Weapon Law Violations,222,46
TOTAL GROUP A,6199,2061
Bad Checks,32,0
Curfew/Loitering/Vagrancy,1,231
Disorderly Conduct,529,123
Driving Under Influence,1055,8
Drunkenness,12,4
"Family Offenses, Nonforcible",35,0
Liquor Laws Violations,189,77
Peeping Tom,0,0
Runaway,0,326
Trespass of Real Property,145,76
Conspiracy,0,0
All Other (except Traffic),3046,444
TOTAL GROUP B,5044,1289
GRAND TOTAL,11243,3350
