Arrests by Offense,Essex,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,0
Robbery,0,0
Aggravated Assault,15,0
Simple Assault/Intimidation,60,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,11,0
Larceny,52,2
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,2,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,8,0
Drug/Narcotic Offenses,74,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,240,5
Bad Checks,9,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,0
Driving Under Influence,17,0
Drunkenness,18,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,3,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),172,0
TOTAL GROUP B,235,3
GRAND TOTAL,475,8
