Arrests by Offense,Culpeper,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",5,5
Robbery,3,0
Aggravated Assault,16,2
Simple Assault/Intimidation,248,24
Arson,0,2
Extortion/Blackmail,0,0
Burglary,16,2
Larceny,237,15
Motor Vehicle Theft,14,0
Counterfeiting/Forgery,9,0
Fraud,51,0
Embezzlement,4,0
Stolen Property,5,1
Vandalism,31,4
Drug/Narcotic Offenses,295,17
"Sex Offenses, Nonforcible",0,0
Pornography,1,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,949,74
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,9
Driving Under Influence,160,0
Drunkenness,190,2
"Family Offenses, Nonforcible",23,0
Liquor Laws Violations,32,12
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,37,0
Conspiracy,0,0
All Other (except Traffic),699,13
TOTAL GROUP B,1157,37
GRAND TOTAL,2106,111
