Arrests by Offense,New Kent,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,1
Robbery,3,1
Aggravated Assault,11,0
Simple Assault/Intimidation,52,17
Arson,0,0
Extortion/Blackmail,0,0
Burglary,10,0
Larceny,32,3
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,4,0
Fraud,11,0
Embezzlement,9,0
Stolen Property,2,1
Vandalism,10,6
Drug/Narcotic Offenses,75,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,2
TOTAL GROUP A,225,36
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,1
Driving Under Influence,47,2
Drunkenness,19,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,9,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),281,7
TOTAL GROUP B,368,17
GRAND TOTAL,593,53
