Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",13,2
Robbery,5,3
Aggravated Assault,37,3
Simple Assault/Intimidation,333,15
Arson,6,3
Extortion/Blackmail,0,0
Burglary,36,0
Larceny,248,16
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,8,0
Fraud,20,0
Embezzlement,6,0
Stolen Property,8,0
Vandalism,42,2
Drug/Narcotic Offenses,288,12
"Sex Offenses, Nonforcible",0,0
Pornography,5,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,24,1
TOTAL GROUP A,1093,57
Bad Checks,18,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,8,1
Driving Under Influence,387,1
Drunkenness,586,4
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,59,9
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,33,0
Conspiracy,5,0
All Other (except Traffic),775,13
TOTAL GROUP B,1875,28
GRAND TOTAL,2968,85
