Training Date(s),Training Location,of Hours,Attending,Course Description/Title
2/9/2015,Southwest Law Enforcement Ad,8,2,Human Trafficing
"February 10-11, 2015",Academy,16,4,Rapid Response to Active Shooter
2/18/2015,Academy,8,4,Use of Force Training
2/25/2015,"VML Glenn Allen, VA",8,1,Driver Training Instructor
,,,,
,Total Training Hours,120,,
,Total Officers Trained,7,,
