Location,Total
West Main,8
Green Springs Road,2
Hillman Highway,2
East Main Street,1
Walden Road,2
A Street,1
Colonial Road,3
Russell Road,7
Porterfield/Route 19,3
Old Eleven Drive,1
,
Parking Tickets Issued,0
Average Speed Over Posted Limit,16.6
