Location,Single Vehicle,Two Vehicles,Three Vehicles,Four Vehicles,Five Vehicles,Total Crashes
Cummings Street,,1,,,,1
East Main Street,,5,,,,5
Fuller Street,,1,,,,1
Jonesboro Road,,2,,,,2
Pecan Street,,1,,,,1
West Main Street,,5,,,,5
Totals,,15,,,,15
