Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,1,30,29,60
Stolen Property Offenses,0,9,38,30,40,38,155
Destruction/Damage/Vandalism,63,197,349,166,253,235,1263
Drug/Narcotic Violations,4,53,372,456,782,1063,2730
Drug Equipment Violations,0,1,5,5,8,11,30
Incest,0,0,1,0,0,0,1
Statutory Rape,0,0,0,3,2,4,9
Pornography/Obscene Material,0,0,3,0,0,1,4
Betting/Wagering,0,0,0,0,1,1,2
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,1,0,1,2
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,1,0,0,1
Assisting or Promoting Prostitution,0,0,0,1,0,0,1
Bribery,0,0,2,0,0,1,3
Weapon Law Violations,6,64,174,123,132,146,645
Total Group A Arrests,188,1602,4346,3068,3739,3959,16902
Bad Checks,0,0,1,1,5,11,18
Curfew/Loitering/Vagrancy Violations,4,68,383,362,515,605,1937
Disorderly Conduct,6,99,394,292,324,289,1404
Driving Under the Influence,1,1,4,9,56,206,277
Drunkenness,0,1,42,55,66,110,274
"Family Offenses, Nonviolent",2,4,14,9,10,5,44
Liquor Law Violations,4,20,130,198,390,724,1466
Peeping Tom,0,0,3,3,1,0,7
Runaway,21,228,1054,958,984,774,4019
Trespass of Real Property,4,52,202,149,225,242,874
Conspiracy to Commit Group A Offense,0,0,1,0,2,2,5
Conspiracy to Commit Group B Offense,0,0,0,0,0,0,0
All Other Offenses,27,240,1255,1198,1699,1772,6191
Total Group B Arrests,69,713,3483,3234,4277,4740,16516
