Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,135,115,20,41
Ches. Bay Brdg. Tunnel PD,42,40,2,43
Div. of Capitol Police,80,72,8,11
Dept of Conservation & Rec,93,83,10,77
Southside VA Trng Center,14,13,1,2
Richmond Int'l Airport,31,27,4,0
VA Port Authority,71,67,4,5
Norfolk Arpt Authority,34,32,2,7
Metro. Wash.Airport Auth.,188,156,32,62
Virginia State Police,1789,1707,82,652
OTHER AGENCY TOTAL,2477,2312,165,900
