Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,6205,3747,8702,9082,11137,9167,1163
Tuesday,5802,3456,7856,8858,11090,9456,1256
Wednesday,6086,3395,7900,8946,11544,9466,1172
Thursday,5858,3427,7603,8714,10965,9318,1061
Friday,6576,3426,7997,9785,13529,10807,1270
Saturday,8243,2665,7188,9288,10377,10661,1083
Sunday,7593,2439,5779,7680,8695,8780,942
