Age,Number,Percent Distribution
Under 10,257,0.09
10--12,2315,0.82
13--14,7829,2.76
15,6302,2.22
16,8016,2.83
17,8699,3.07
18,13117,4.63
19,13796,4.87
20,13447,4.74
21,12964,4.57
22,12006,4.23
23,11006,3.88
24,9287,3.28
25-29,37065,13.07
30-34,31617,11.15
35-39,31067,10.96
40-44,27912,9.84
45-49,17832,6.29
50-54,9442,3.33
55-59,4867,1.72
60-64,2293,0.81
65 & Over,2396,0.85
TOTAL,283532,100
