Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,137100,5733.77,7861,3,25,26,15,174,215,1419,21,4,432,3626,621,85,378,64,10,1920,466,1,0,5,4,0,54
State Police,,,10,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,0,0
Bedford PD,6300,10206.34,643,0,2,4,5,2,22,209,1,0,31,198,8,49,21,3,4,109,46,1,0,0,0,0,12
State Police,,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bristol PD,17200,10337.2,1778,0,2,4,32,4,81,515,5,0,77,574,20,115,70,8,4,398,108,1,0,0,0,0,20
State Police,,,6,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Buena Vista PD,6100,2836.06,173,0,0,2,11,0,19,35,0,0,4,58,2,5,3,1,0,38,7,4,0,0,0,0,0
State Police,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1
Charlottesville PD,39500,8696.2,3435,0,15,19,24,58,183,828,8,0,163,1121,129,38,131,34,12,806,423,1,3,0,0,0,64
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Chesapeake PD,206600,5381.41,11118,5,154,63,157,269,804,2659,12,5,991,4963,534,253,417,102,57,182,1043,11,2,0,8,1,653
State Police,,,23,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,15,0,0,0,0,0,2
Colonial Heights PD,17100,10269,1756,1,3,4,11,18,28,279,9,0,80,789,26,56,78,39,2,271,285,2,0,0,1,0,19
State Police,,,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,1
Covington PD,6100,7639.34,466,0,2,0,2,6,11,106,4,0,53,186,17,12,7,1,0,121,18,0,0,0,0,0,8
State Police,,,19,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,15,0,0,0,0,0,0
Danville PD,46600,10753.21,5011,5,4,19,18,67,182,1367,13,1,295,1683,134,101,144,22,3,1027,392,4,0,0,5,0,103
State Police,,,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0
Emporia PD,5700,18263.15,1041,0,6,7,6,21,38,263,3,0,61,365,16,51,34,5,3,195,58,3,0,0,0,0,14
State Police,,,44,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,42,0,0,0,0,0,0
Fairfax PD0,23600,504.23,119,0,0,0,1,4,2,30,0,0,4,60,7,0,2,0,1,16,3,0,0,0,0,0,3
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Falls Church PD,11100,6045.04,671,0,0,1,2,4,8,112,6,0,37,292,45,8,30,3,2,186,32,0,0,0,0,0,13
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin PD,8100,9209.87,746,0,2,2,2,17,27,226,0,0,35,255,26,15,5,9,5,152,68,1,0,0,0,0,26
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD,20600,9800.97,2019,0,2,6,16,28,39,210,7,0,93,899,75,41,131,43,8,408,310,5,0,0,2,0,39
State Police,,,25,0,0,0,0,0,2,2,0,0,0,4,2,0,7,2,0,3,3,0,0,0,0,0,1
Galax PD10,6700,10880.59,729,0,1,2,6,6,26,155,1,0,16,214,11,138,14,1,3,87,78,1,0,0,0,0,25
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hampton PD,144400,7321.32,10572,10,51,53,91,245,287,1856,40,2,855,4054,565,125,400,216,44,2460,828,7,6,0,4,0,327
State Police,,,230,0,0,0,0,0,8,0,0,1,0,3,1,6,43,0,0,1,167,0,0,0,0,0,8
Harrisonburg PD,42200,6066.35,2560,0,23,13,17,23,79,390,13,2,184,1012,63,49,91,18,15,825,338,1,0,0,2,0,59
State Police,,,183,0,0,0,0,0,1,0,0,0,0,3,1,0,3,0,0,1,174,0,1,0,0,0,6
Hopewell PD,22300,9645.73,2151,2,7,15,20,29,81,755,6,0,275,660,77,32,40,6,4,631,134,4,2,0,1,0,68
State Police,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,1
Lexington PD,6900,3028.98,209,0,0,0,1,0,9,30,1,0,17,94,3,2,9,0,0,61,11,0,0,0,0,0,0
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Lynchburg PD,66800,8986.52,6003,6,23,25,86,72,165,2012,13,0,413,2117,167,144,215,31,28,1039,521,2,6,0,3,0,138
State Police,,,17,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,7,0,0,0,0,0,0
Manassas PD,37100,8493.26,3151,4,21,20,29,30,88,852,12,0,91,963,136,52,153,17,4,695,253,0,0,0,3,2,53
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manassas Park PD,12400,4895.16,607,1,1,1,8,3,15,126,2,1,16,192,42,9,19,4,4,176,49,1,0,0,0,0,23
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,15200,10585.52,1609,0,3,6,14,14,38,282,2,0,78,506,28,102,48,12,0,377,161,0,0,0,2,0,40
State Police,,,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Newport News PD,180900,10004.97,18099,27,21,95,156,390,754,4711,85,4,845,6318,982,291,574,100,88,4053,1339,15,1,2,23,0,740
State Police,,,86,0,0,0,0,0,6,0,0,0,0,1,2,2,25,0,1,1,53,0,0,0,0,0,7
Norfolk PD,234100,10913.71,25549,40,48,86,209,719,548,3702,22,2,1742,11442,1438,337,207,64,49,4852,1494,12,1,0,162,0,139
State Police,,,87,0,0,0,0,0,16,4,0,0,0,1,2,4,15,0,0,2,39,0,0,0,0,0,16
Norton PD,3900,10076.92,393,0,1,3,3,4,9,33,3,0,20,228,9,18,4,0,2,102,13,1,0,0,0,0,4
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD,32000,14740.62,4717,8,40,22,24,89,169,848,17,0,561,1725,220,107,115,25,66,1365,344,5,0,4,4,0,132
