Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,3,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,6,0,2,0,1,0,0,1,14,1,22,1,0,0,13,0,0,0,10,0,0,0,41,0,1,0,0,1,0,0,2,0,12,2,2,0,0,0,1,0,144,11
Manslaughter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kidnaping,3,0,0,1,2,0,0,0,7,1,21,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,49,5,5,0,4,0,0,0,16,0,2,0,0,0,1,0,1,0,40,3,0,0,11,0,0,0,64,2,0,0,54,1,2,0,1,0,4,0,29,0,45,7,5,0,0,0,1,0,373,20
"Sex Offenses, Forcible",6,1,0,1,3,0,0,0,14,2,33,0,2,2,0,1,2,0,2,0,0,0,1,0,1,1,6,0,0,0,33,10,6,0,8,1,1,0,17,4,4,0,0,0,6,3,48,14,53,12,1,0,10,2,1,0,34,5,0,0,36,11,4,0,3,2,11,2,16,0,70,24,7,0,4,1,7,1,450,100
Robbery,32,3,0,0,0,0,0,0,11,1,49,13,11,0,4,0,2,0,4,2,0,0,0,0,5,1,11,3,1,0,45,4,3,0,10,0,0,0,12,3,7,0,0,0,9,2,73,19,50,7,1,2,33,5,0,0,40,6,0,0,145,11,5,5,5,3,5,0,24,0,78,32,3,3,5,2,8,1,691,128
Aggravated Assault,95,10,8,1,43,1,8,0,25,4,202,40,21,2,4,1,21,0,16,2,1,0,1,0,19,1,25,1,13,1,120,7,38,0,31,1,5,1,37,5,47,6,1,2,16,8,232,36,73,7,4,0,89,10,2,1,108,10,0,0,330,27,47,3,16,1,21,2,43,1,85,20,54,4,7,1,15,2,1923,219
Simple Assault/Intimidation,493,78,104,14,149,10,19,1,294,18,785,60,165,50,49,2,662,19,54,18,7,0,17,3,94,1,126,7,62,3,741,39,174,13,213,0,15,0,741,56,156,5,38,4,153,38,1320,229,802,20,14,2,415,19,22,6,1182,113,0,0,1114,358,150,26,165,21,333,40,496,1,2229,532,242,26,91,17,135,45,14021,1894
Arson,0,4,1,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,1,2,4,1,0,0,0,2,1,0,1,0,0,0,0,5,8,0,0,0,0,1,0,0,0,2,0,0,0,7,15,2,0,1,1,2,0,0,0,19,46,6,0,0,0,0,7,57,100
Extortion/Blackmail,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,0,12,11
Burglary,32,9,14,8,11,0,0,0,15,0,83,17,24,8,4,0,4,1,3,1,0,0,0,0,2,1,14,1,0,0,94,11,16,1,18,1,0,0,24,6,2,0,0,0,20,7,85,52,67,21,10,0,30,12,7,1,77,18,0,0,131,12,11,3,5,2,14,3,33,0,141,134,13,6,3,0,32,7,1039,343
Larceny,386,79,15,3,108,6,0,0,90,22,625,117,326,213,20,5,245,18,29,19,5,0,28,5,41,9,205,35,43,13,534,76,94,5,69,1,9,3,287,92,66,2,5,4,62,8,493,239,842,125,108,15,143,8,9,6,291,33,1,0,383,55,208,33,105,24,187,66,250,3,995,598,125,24,30,14,193,135,7655,2113
Motor Vehicle Theft,21,2,0,0,3,0,0,0,0,0,30,11,0,0,1,0,4,0,1,1,0,0,0,0,6,0,0,0,1,0,24,9,5,1,0,0,2,0,0,0,5,1,5,3,2,5,56,49,10,8,2,0,9,9,2,3,2,0,0,0,128,49,5,5,12,4,11,4,0,0,59,31,11,2,2,5,0,0,419,202
Counterfeiting/Forgery,29,2,32,0,16,0,13,0,19,0,56,2,37,2,0,0,4,0,6,1,0,0,2,0,0,0,28,0,17,0,41,0,14,0,5,0,1,0,39,1,14,0,0,0,35,9,82,4,100,0,2,0,60,0,4,0,40,2,0,0,50,3,3,0,58,8,68,6,11,0,109,2,30,0,5,0,22,1,1052,43
Fraud,43,1,18,2,8,0,0,0,30,0,68,0,9,1,0,0,40,0,6,0,0,0,2,0,0,0,13,0,3,0,75,0,24,3,3,0,6,0,45,1,16,0,3,1,27,4,79,3,107,0,2,0,11,0,1,0,21,0,0,0,47,0,10,0,17,3,31,0,38,1,135,4,22,1,5,0,17,1,982,26
Embezzlement,47,2,5,0,6,0,0,0,13,1,30,0,29,3,1,0,3,1,3,0,0,0,0,0,6,0,19,4,0,0,55,1,15,0,3,0,0,0,12,1,6,0,1,0,7,0,37,3,40,0,0,0,13,0,20,0,6,0,0,0,10,0,16,2,7,2,0,0,15,0,94,4,7,0,5,1,8,2,539,27
Stolen Property,7,0,3,0,1,0,0,0,10,1,26,8,1,2,0,0,1,0,0,0,2,0,0,0,5,0,9,0,1,0,41,1,3,1,5,0,0,0,11,4,2,0,1,1,0,0,48,27,52,1,1,0,23,3,0,2,24,1,0,0,13,1,4,1,1,0,2,0,18,0,32,16,1,2,1,1,10,3,359,76
Vandalism,30,24,3,5,6,0,1,0,38,0,27,1,12,18,6,3,37,4,5,2,0,0,2,0,6,0,15,3,2,0,54,11,15,2,15,0,4,2,50,5,24,2,6,3,24,8,89,94,57,4,5,0,46,6,3,4,75,8,0,0,102,27,14,4,16,13,28,13,46,0,216,152,14,8,9,0,11,10,1113,436
Drug/Narcotic Offenses,315,28,17,1,94,5,12,0,252,14,844,114,212,34,15,2,139,6,78,23,2,0,18,1,50,5,257,16,26,5,696,51,354,9,70,0,20,0,459,49,182,5,29,7,62,5,1301,146,1238,48,8,1,196,17,46,7,794,31,7,0,874,78,188,9,98,20,136,20,246,5,1818,286,105,12,52,2,348,29,11658,1091
"Sex Offenses, Nonforcible",0,0,1,0,2,0,1,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,0,0,3,0,0,0,5,1,0,0,0,0,1,0,2,0,3,0,0,1,0,0,1,0,50,4
Pornography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0
Gambling,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,54,3
Prostitution,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,129,0,0,0,3,0,0,0,16,0,0,0,164,0,30,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,448,1
Bribery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Weapon Law Violations,17,10,3,2,11,0,1,0,31,3,79,21,14,5,5,0,51,1,7,1,0,0,8,2,14,1,18,0,8,2,77,10,27,3,7,1,0,0,54,8,17,0,6,0,26,2,133,49,99,8,0,1,66,8,1,0,59,3,0,0,108,28,28,3,18,6,28,5,41,1,194,64,18,2,8,1,21,2,1303,253
TOTAL GROUP A,1598,256,224,39,464,22,55,1,852,68,2970,408,867,346,109,14,1223,51,216,71,17,0,79,11,252,20,752,70,177,28,2698,236,798,42,466,5,63,6,1816,236,553,22,96,25,450,100,4125,973,3791,265,158,21,1190,101,118,30,2852,232,8,0,3743,678,728,94,529,111,882,161,1311,12,6405,1964,665,91,227,45,830,246,44357,7101
Bad Checks,24,0,86,0,14,0,10,0,339,0,92,0,47,0,0,0,229,1,42,1,1,0,3,0,17,0,46,0,110,0,26,0,256,0,42,0,2,0,222,0,32,0,2,0,20,0,1,0,67,0,0,0,34,0,1,0,30,1,0,0,57,0,3,0,8,0,57,0,59,0,143,0,30,0,1,0,268,1,2421,4
Curfew/Loitering/Vagrancy,86,1,0,7,0,0,0,0,0,1,5,61,0,45,0,0,1,120,1,20,0,0,0,0,0,4,0,0,0,8,1,167,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,186,0,0,0,0,4,87,0,11,7,25,0,0,0,20,0,0,0,0,0,7,0,0,21,561,2,3,0,1,0,2,131,1347
Disorderly Conduct,139,14,7,2,10,0,4,0,59,6,64,24,28,14,1,0,40,28,15,9,0,0,13,0,10,2,68,4,26,2,7,12,167,1,16,0,3,0,54,25,52,0,7,0,57,7,68,38,1005,51,7,6,138,2,6,0,74,14,0,0,87,61,11,18,15,14,44,39,37,4,794,224,17,6,2,1,17,4,3169,632
Driving Under Influence,454,1,61,0,79,1,38,1,270,4,693,3,169,2,62,3,283,0,59,0,9,0,31,0,26,1,194,3,83,3,86,2,352,2,9,0,58,0,200,1,280,2,98,2,127,1,311,6,604,0,53,1,113,1,22,3,282,1,0,0,255,2,152,0,158,1,132,2,108,1,2292,8,114,2,86,0,208,4,8611,64
Drunkenness,1102,2,69,0,245,1,61,0,394,2,654,1,72,0,61,0,534,2,65,1,15,0,68,2,38,0,566,0,108,0,36,2,292,8,64,0,86,0,461,2,458,2,58,1,122,2,940,13,1500,6,70,2,75,1,33,9,425,1,0,0,503,4,519,1,250,3,238,2,32,2,3319,27,181,1,107,2,67,4,13888,106
"Family Offenses, Nonforcible",3,0,0,0,7,0,0,0,2,0,22,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,8,0,2,0,8,1,9,0,10,0,2,0,18,0,2,0,0,0,0,1,159,32,219,2,1,0,0,0,0,0,88,0,0,0,75,0,4,0,4,0,6,0,32,0,22,0,10,0,0,0,22,0,738,39
Liquor Laws Violations,753,50,14,11,32,2,1,2,74,6,119,60,71,32,18,11,45,4,5,5,10,0,13,1,7,0,139,4,22,10,8,33,413,27,2,1,19,0,211,10,218,15,2,3,12,7,22,45,780,25,10,0,46,0,16,9,44,8,0,0,8,2,36,2,25,11,47,31,45,0,437,157,16,18,41,4,23,20,3804,626
Peeping Tom,2,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,27,2,2,0,0,0,1,0,59,3
Runaway,0,3,0,0,0,0,0,0,0,39,0,384,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,422,0,0,0,0,0,0,0,89,0,1,0,23,0,0,0,319,0,92,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,0,0,2,0,58,0,0,0,7,1537,
Trespass of Real Property,151,11,21,1,31,6,3,0,105,2,237,30,36,21,2,1,258,50,20,8,1,0,9,0,13,3,92,5,14,0,154,49,70,4,28,0,5,1,263,31,40,0,5,2,19,6,181,106,955,29,6,0,135,7,0,0,769,4,0,0,126,17,64,4,21,15,21,6,89,8,458,112,24,3,5,1,29,7,4460,550
Conspiracy,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0
All Other (except Traffic),611,46,120,36,420,25,55,4,814,61,1142,116,907,93,45,8,1898,144,117,17,26,1,36,4,143,1,745,66,39,1,1920,108,2316,29,152,3,6,4,1608,102,614,28,50,4,389,42,541,364,6427,966,138,6,1303,25,14,2,2820,19,3,0,2597,48,251,13,561,35,126,8,854,2,9023,878,498,48,40,4,880,29,40249,3390
TOTAL GROUP B,3325,128,378,57,839,35,172,7,2059,121,3036,680,1331,244,189,23,3289,349,325,64,62,1,174,8,255,11,1859,82,404,28,2246,796,3882,71,323,14,181,5,3037,260,1696,48,222,35,746,66,2229,1109,11562,1171,285,16,1849,134,92,34,4541,73,3,0,3711,154,1040,38,1042,81,672,137,1258,17,16536,1971,894,139,282,13,1515,78,77541,8298
GRAND TOTAL,4923,384,602,96,1303,57,227,8,2911,189,6006,1088,2198,590,298,37,4512,400,541,135,79,1,253,19,507,31,2611,152,581,56,4944,1032,4680,113,789,19,244,11,4853,496,2249,70,318,60,1196,166,6354,2082,15353,1436,443,37,3039,235,210,64,7393,305,11,0,7454,832,1768,132,1571,192,1554,298,2569,29,22941,3935,1559,230,509,58,2345,324,121898,15399
