Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,296,248,48,131
Bedford PD,22,22,0,2
Bristol PD,56,48,8,21
Buena Vista PD,13,12,1,2
Charlottesville PD,111,101,10,30
Chesapeake PD,358,302,56,131
Clifton Forge PD,9,9,0,6
Colonial Heights PD,45,38,7,4
Covington PD,14,13,1,13
Danville PD,127,112,15,7
Emporia PD,25,24,1,9
Fairfax PD,61,55,6,14
Falls Church PD,31,24,7,12
Franklin PD,30,29,1,11
Fredericksburg PD,64,58,6,26
Galax PD,24,22,2,16
Hampton PD,266,226,40,102
Harrisonburg PD,80,72,8,21
Hopewell PD,50,47,3,14
Lexington PD,15,15,0,2
Lynchburg PD,141,132,9,76
Manassas PD,83,71,12,21
Manassas Park PD,23,22,1,9
Martinsville PD,54,50,4,6
Newport News PD,384,334,50,138
Norfolk PD,769,684,85,140
Norton PD,16,16,0,5
Petersburg PD,108,98,10,42
Poquoson PD,20,18,2,4
Portsmouth PD,220,194,26,92
Radford PD,36,32,4,12
Richmond PD,632,538,94,133
Roanoke PD,235,216,19,57
Salem PD,63,60,3,26
South Boston PD,27,25,2,5
Staunton PD,47,41,6,15
Suffolk PD,134,120,14,43
Virginia Beach PD,783,696,87,163
Waynesboro PD,51,45,6,8
Williamsburg PD,34,28,6,13
Winchester PD,65,60,5,12
CITY TOTAL,5622,4957,665,1594
