TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7780,9061.69,705,0,2,3,3,4,8,97,0,0,38,341,30,49,54,10,3,98,18,1,0,0,0,1,4
Altavista PD,3425,4905.1,168,1,3,1,0,0,5,38,1,0,9,61,8,11,5,0,0,39,17,0,0,0,0,0,3
Amherst PD,2251,3509.55,79,0,0,0,1,0,6,10,0,0,5,25,0,0,0,0,0,34,5,0,0,0,0,0,1
Appalachia PD,1839,6960.3,128,0,0,1,1,0,14,64,2,0,1,26,1,0,0,0,5,9,2,0,0,0,0,0,2
Ashland PD,6619,8384.95,555,1,2,4,5,9,5,98,1,0,18,278,18,13,22,0,0,158,20,0,0,0,2,0,11
Berryville PD,2963,4758.69,141,0,0,0,2,1,3,21,2,0,8,54,4,2,6,0,0,43,15,1,0,0,0,0,0
Big Stone Gap PD,4856,6528,317,0,0,1,1,1,5,61,3,0,13,163,8,11,0,0,1,66,10,0,0,0,0,0,4
Blacksburg PD,39573,3995.14,1581,0,3,6,6,7,47,226,3,0,108,674,33,29,39,6,9,545,52,0,2,0,0,0,19
Blackstone PD,3675,6775.51,249,0,2,0,3,1,13,55,0,0,11,102,7,8,7,5,0,57,7,0,0,0,0,0,3
Bluefield PD,5078,6557.69,333,0,0,0,0,1,2,26,1,0,4,187,5,36,10,1,0,59,9,0,0,0,0,0,0
Bowling Green PD0,936,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD0,620,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
