Circumstances of Aggravated Assaults,Number
Argument,4267
Assault on Law Officer,611
Drug Dealing,68
Gangland,29
Juvenile Gang,23
Lover's Quarrel,339
Other Felony Involved,58
Other Circumstances,2353
Unknown Circumstances,3504
