Location,Total
Air/Bus/Train Terminal,34
Bank/Savings & Loan,4
Bar/Night Club,35
Church/Synagogue/Temple,42
Commercial/Office Building,353
Construction Site,38
Convenience Store,159
Department/Discount Store,74
Drug Store/Dr Office/Hospital,28
Field/Woods,59
Government/Public Building,24
Grocery/Supermarket,40
Highway/Road/Alley,4355
Hotel/Motel/Etc.,170
Jail/Penitentiary,7
Lake/Waterway,4
Liquor Store,5
Parking Lot/Garage,5291
Rental/Storage Facility,89
Residence/Home,5277
Restaurant,76
School/College,89
Service/Gas Station,251
Specialty Store,188
Other/Unknown,874
TOTAL,17566
