Classification,Number of Offenses
Pocket-Picking,457
Purse-Snatching,365
Shoplifting,21363
Theft From Building,28855
Theft From Coin-Operated Machine,1376
Theft From Motor Vehicles,40032
Theft of Motor Vehicle Parts & Accessories,16147
All Other Larceny,67402
TOTAL,175997
