Type Security of Structure,Number
Alarm/Audio,1155
Alarm/Silent,294
Bars/Grate,90
Camera,309
Dog,163
Dead Bolt,1558
Locked,8894
Unlocked,1733
Exterior Lights,285
Interior Lights,109
Fence,173
Guard,66
Neighborhood Watch,16
Other,217
None,2744
