Officer,Total Traffic Citations
Officer Lancaster,701
Officer Landrum,278
Officer Wilson,255
Officer Godfrey,239
Officer Harn,230
Officer Williams,188
Officer Brumfield,175
Officer Nicholson,173
Officer Parks,167
Officer Kenyi,160
