Crime Index Major Offenses,Number,Crime Rate
Murder,4,8.64
Rape,26,56.17
Robbery,106,229.02
Aggravated Assault,193,416.99
Burglary,318,687.06
Larceny,1876,4053.23
Motor Vehicle Theft,140,302.48
Arson,19,41.05
Total,2682,5794.65
