Crime Index Major Offenses,Number,Crime Rate
Murder,8,17.51
Rape,15,32.83
Robbery,134,293.31
Aggravated Assault,157,343.66
Burglary,365,796.96
Larceny,1798,3935.73
Motor Vehicle Theft,145,317.39
Arson,18,39.4
Total,2640,5453.31
