Top Ten Officers for Criminal Arrests,Total Criminal Arrests by Officer
Officer Gourley,169
Officer Lancaster,148
Officer Nicholson,144
Officer Wilson,139
Officer Harn,135
Officers Wilson and Smith,134
Officer Taylor,130
Officer Frost,127
Officer Jackson,123
Officer Snead,114
