Officer,Number of Drug Arrests
Officer Frost,49
Sergeant Thompson/Officer Smith,39
Officer Snead,39
Officer Land,31
Officer Simmons,28
Officer Nicholson/Harn,18
Officer Kenyi,19
Officer Gagnon,16
Officer Wilson,16
Officer Merrill,15
