Crime Index Major Offenses,Number,Crime Rate
Murder,7,14.8
Rape,16,33.84
Robbery,91,192.47
Aggravated Assault,232,460.69
Burglary,343,725.46
Larceny,1870,3955.16
Motor Vehicle Theft,122,258.03
Arson,21,44.41
Total,2702,5714.89
