Crime Index Major Offenses,Number,Crime Rate
Murder,9,18.01
Rape,9,20.27
Robbery,76,171.17
Aggravated Assault,80,180.18
Burglary,519,1168.91
Larceny,80,3707.2
Motor Vehicle Theft,80,180.18
Arson,13,29.27
Total,2431,5475.22
