Action,Totals
Summonses Written,1014
Written Summons in High Crash Corridors,503
Safety Belt Violations Were Written,140
Arrests Were Made,42
DUI Arrests Were Made,14
Drug Arrests Were Made,8
Drinking While driving Arrests Were Made,$3.00
Other Arrests,15
