Rank,Nature of Call,Total
1,Checking Building,"33,189"
2,Vehicle Stop,"18,152"
3,Busy on Investigation,"4,177"
4,Pick Up Paperwork,"2,910"
5,See Complainant,"2,612"
6,Traffic Detail,"2,255"
7,Motorist Needs Assistance,"2,076"
8,Foot Patrol,"1,561"
9,Suspicious Person,"1,530"
10,Execute Warrant,"1,402"
