Rank,Nature of Call,Total
1,911 Hang-up,"11,312"
2,See Complainant,"5,735"
3,"Alarm, Burglary","3,300"
4,Disturbance,"2,652"
5,Animal Control Call,"2,308"
6,Auto Accident,"2,281"
7,Suspicious Person,"2,252"
8,Reckless Driver,"1,668"
9,Larceny,"1,593"
10,Checking Building,"1,523"
