Action,Totals
"Security details, to include Stars and Stripes Spectacular, Crittenden Raft Race and 4th of July event, Harbor Fest, Opsail 2012, and TGIF events at Constance Wharf",6
Vessel Boarding's,51
Search and Rescue Operation,1
Military Vessel Escorts,2
