Rank,Offense,Total
1,Simple Assault,784
2,"Simple Assault, Domestic",695
3,Vandalism of Private Property,498
4,Grand Larceny,497
5,Petit Larceny,459
6,Destruction of Property,418
7,Shoplifting,374
8,Theft from Motor Vehicle,309
9,Hit and Run,305
10,Possession of Marijuana,304
