"Statistic
",Total
Stray Animals Picked Up,7925
Unwanted Animals Turned in by Owner,1267
Animals Returned to Owner by Officer (via License tag identification or some means of identification),256
Animals Claimed by Owner,1986
Animals Adopted by Citizens,1664
Animal Cruelty Investigations,1532
Animal Bite Investigations,1523
Animals Euthanized,3929
