Race,Victims Male,Victims Female,Offenders Male,Offenders Female
White,82617,63446,52368,18288
Black,29647,33522,53272,15193
American Ind/Alaskan,209,103,64,33
Asian/Pacific Isl,1728,1255,798,311
Unknown,3279,2439,2725,828
Total,117480,100765,109227,34653
