Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,2153,3416,1814,247,597,318
Black,5836,5230,1856,511,943,398
Am. Ind./Alskn,1,9,4,0,2,1
Asian/Pacfc Isl.,41,63,17,2,12,6
Unknown,261,58,27,19,7,6
TOTAL,8292,8776,3718,779,1561,729
