Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,735,2034,984,142,493,253
Black,1187,2383,1037,335,840,355
Am. Ind./Alskn,0,4,1,0,2,1
Asian/Pacfc Isl.,18,36,10,1,13,4
Unknown,67,23,15,11,4,4
TOTAL,2007,4480,2047,489,1352,617
