Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,1,0,1,0,242,13
Manslaughter,0,0,0,0,0,0,13,5
Kidnaping,1,0,1,0,2,0,481,28
"Sex Offenses, Forcible",4,0,3,0,7,0,1101,312
Robbery,6,0,1,0,7,0,1054,319
Aggravated Assault,14,0,14,0,28,0,4128,603
Simple Assault/Intimidation,91,0,34,0,125,0,28471,4262
Arson,8,0,0,0,8,0,144,181
Extortion/Blackmail,0,0,0,0,0,0,22,11
Burglary,6,0,0,0,6,0,2662,1058
Larceny,96,17,16,3,112,20,13972,4656
Motor Vehicle Theft,7,3,18,0,25,3,1133,498
Counterfeiting/Forgery,5,0,79,6,84,6,2417,105
Fraud,11,0,3,0,14,0,2109,129
Embezzlement,6,0,0,0,6,0,1083,80
Stolen Property,10,0,5,0,15,0,561,155
Vandalism,52,2,0,0,52,2,2697,1374
Drug/Narcotic Offenses,288,11,10,0,298,11,20806,2529
"Sex Offenses, Nonforcible",1,0,0,0,1,0,147,12
Pornography,0,0,0,0,0,0,30,0
Gambling,0,0,0,0,0,0,14,3
Prostitution,0,0,1,0,1,0,642,3
Bribery,0,0,0,0,0,0,8,2
Weapon Law Violations,24,0,23,0,47,0,2992,612
TOTAL GROUP A,630,33,209,9,839,42,86929,16950
Bad Checks,0,0,0,0,0,0,9023,17
Curfew/Loitering/Vagrancy,0,1,0,0,0,1,71,1992
Disorderly Conduct,70,2,23,0,93,2,5155,1353
Driving Under Influence,262,3,37,0,299,3,25978,320
Drunkenness,406,2,130,0,536,2,26209,332
"Family Offenses, Nonforcible",1,0,1,0,2,0,797,36
Liquor Laws Violations,372,11,924,93,1296,104,8334,1875
Peeping Tom,2,0,0,0,2,0,93,12
Runaway,0,3,0,2,0,5,0,2688
Trespass of Real Property,113,1,15,0,128,1,7195,888
Conspiracy,0,0,0,0,0,0,83,5
All Other (except Traffic),483,3,135,2,618,5,76139,6721
TOTAL GROUP B,1709,26,1265,97,2974,123,159077,16239
GRAND TOTAL,2339,59,1474,106,3813,165,246006,33189
