Group A Offense,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,102,133,132,109,141,116,136,129,116,148,132,116
Assaults,6521,6662,7332,6828,7833,6658,6509,6503,6608,6813,5611,5433
Bribery,3,1,3,0,2,3,0,0,3,1,1,0
Burglary,2207,2084,2162,2109,2340,2172,2528,2530,2250,2433,2134,2205
Counterfeiting,624,607,561,529,672,595,541,626,586,557,557,499
Destruction,6199,5743,5669,6698,6726,6219,7223,7190,6298,6807,6284,5759
Drug,2347,2677,2889,2506,2633,2211,2702,2729,2762,2666,2274,2211
Embezzlement,235,195,216,222,274,210,205,225,226,261,195,207
Extortion,5,3,9,3,4,5,2,11,4,5,6,1
Fraud,786,714,782,729,755,658,661,657,658,608,607,578
Gambling,0,0,3,1,2,2,1,0,2,5,4,2
Homicide,29,25,30,33,36,32,32,31,33,31,22,29
Kidnapping,94,99,109,99,91,90,86,101,86,99,61,68
Larceny,12273,12024,12316,13029,13661,12356,13468,13474,12041,12794,11411,11089
MV Theft,1465,1266,1208,1282,1436,1360,1439,1596,1326,1343,1257,1194
Pornography,11,10,13,9,7,9,13,15,6,7,15,9
Prostitution,71,65,87,58,98,77,69,58,58,68,33,39
Robbery,517,394,420,466,456,440,499,547,506,502,455,539
Forcible Sex,419,352,435,352,416,439,402,393,361,329,295,244
Nonforcible Sex,24,24,30,33,25,18,31,18,16,17,9,7
Stolen Property,103,87,91,90,102,84,73,103,94,96,77,70
Weapon Laws,748,695,806,679,708,643,699,714,709,781,702,673
Group A Offenses,34783,33860,35303,35864,38418,34397,37319,37650,34749,36371,32142,30972
Group A Incidents,30349,29800,31407,31743,34074,30418,32591,33073,30635,31934,28164,26847
