Location,Number of Offenses
Air/Bus/Train Terminal,345
Bank/Savings & Loan,386
Bar/Night Club,789
Church/Synagogue/Temple,741
Commercial/Office Building,4585
Construction Site,1883
Convenience Store,8840
Department/Discount Store,9459
Drug Store/Dr Office/Hospital,1963
Field/Woods,703
Government/Public Building,1048
Grocery/Supermarket,5102
Highway/Road/Alley,10014
Hotel/Motel/Etc.,1840
Jail/Penitentiary,29
Lake/Waterway,289
Liquor Store,109
Parking Lot/Garage,19212
Rental/Storage Facility,733
Residence/Home,48832
Restaurant,2972
School/College,4990
Service/Gas Station,9804
Specialty Store,4943
Other/Unknown,10325
TOTAL,149936
