Circumstances of Aggravated Assaults,Totals
Argument,4529
Assault on Law Officer,634
Drug Dealing,89
Gangland,16
Juvenile Gang,26
Lover's Quarrel,332
Other Felony Involved,61
Other Circumstances,1916
Unknown Circumstances,3170
