Violent Crimes Where Offender(s) Suspected of Using by Offense,Alcohol,Comp. Equip.,Drugs
Murder/Non-Negl. Mansl.,22,0,9
Negligent Manslaughter,8,0,1
Aggravated Assault,1241,6,156
Forcible Rape,218,1,40
Forcible Sodomy,35,1,11
Sexual Aslt W/Object,24,0,7
Forcible Fondling,107,1,17
Robbery,125,4,79
Total,1780,13,320
