Type Security of a Structure,Number
Alarm/Audio,1272
Alarm/Silent,325
Bars/Grate,121
Camera,189
Dog,194
Dead Bolt,2065
Locked,10291
Unlocked,1774
Exterior Lights,405
Interior Lights,113
Fence,208
Guard,74
Neighborhood Watch,19
Other,240
None,2733
