Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,111,13,16,22,44,45,51,60,49,44,48,54,37
Tuesday,89,19,16,11,46,48,57,57,48,44,51,49,55
Wednesday,95,21,12,23,45,49,54,69,46,34,47,48,55
Thursday,103,41,12,24,57,38,64,57,59,37,47,41,48
Friday,129,22,18,23,57,55,40,71,71,49,56,68,39
Saturday,164,52,39,18,51,42,67,40,51,56,67,86,51
Sunday,88,58,36,16,22,39,53,29,41,40,50,47,26
TOTAL,779,226,149,137,322,316,386,383,365,304,366,393,311
