Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,298,612,109,21,84,29
Black,2342,3516,436,91,130,33
Am. Ind./Alskn,0,1,0,0,0,0
Asian/Pacfc Isl.,10,14,1,0,0,0
Unknown,91,38,8,2,0,1
TOTAL,2741,4181,554,114,214,63
