Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,392,142,123,364,499,320,331,317,462,378,311,329,107
Tuesday,329,116,137,349,424,303,294,306,452,389,359,282,89
Wednesday,316,133,109,316,465,262,306,314,434,420,341,310,76
Thursday,316,131,79,332,427,266,316,313,464,436,332,331,71
Friday,371,156,126,313,427,311,327,340,611,507,366,356,99
Saturday,440,219,131,208,282,305,364,341,465,436,334,326,91
Sunday,376,249,124,145,253,268,295,296,380,323,302,302,69
TOTAL,2540,1146,829,2027,2777,2035,2233,2227,3268,2889,2345,2236,602
