Classification,Number of Offenses
Pocket-Picking,250
Purse-Snatching,315
Shoplifting,16917
Theft From Building,25740
Theft From Coin-Operated Machine,922
Theft From Motor Vehicles,34319
Theft of Motor Vehicle Parts & Accessories,8771
All Other Larceny,62702
TOTAL,149936
