Under 10,1,53,4,0,0
10--12,2,96,16,0,0
13--14,4,189,48,1,1
15,0,109,42,1,0
16,1,102,57,1,0
17,0,89,55,0,0
18,2,81,87,0,0
19,0,54,79,0,0
20,0,76,84,0,1
21,0,53,76,0,1
22,0,29,46,0,0
23,0,33,53,0,0
24,0,28,40,0,0
25-29,0,128,188,1,0
30-34,0,102,169,1,1
35-39,1,92,132,1,0
40-44,0,75,90,0,0
45-49,1,38,60,0,2
50-54,1,18,36,0,1
55-59,0,4,18,0,0
60-64,0,3,4,0,0
65 & Over,0,11,17,0,0
Unknown,0,24,142,0,53
TOTAL,13,1487,1543,6,60
White,9,959,765,4,0
Black,3,494,730,2,0
Am. Ind. or Alaskan Native,0,0,2,0,0
Asian or Pacific Isl.,0,14,10,0,0
Unknown,1,20,36,0,60
TOTAL,13,1487,1543,6,60
