Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,339,133,81,79,119,144,167,234,191,275,340,361,75
Tuesday,342,128,72,61,127,160,183,195,228,281,347,341,80
Wednesday,372,137,75,63,129,143,188,241,244,260,367,381,84
Thursday,364,170,57,76,129,148,181,220,229,266,332,380,89
Friday,475,181,69,81,160,170,169,232,257,264,378,511,75
Saturday,645,375,174,100,135,160,211,210,249,312,403,545,85
Sunday,564,377,191,67,76,138,175,181,213,256,341,338,66
TOTAL,3101,1501,719,527,875,1063,1274,1513,1611,1914,2508,2857,554
