Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,659,1087,764,44,34,31
Black,626,747,416,22,16,12
Am. Ind./Alskn,0,3,5,0,0,0
Asian/Pacfc Isl.,2,19,8,0,0,2
Unknown,57,20,19,4,3,2
TOTAL,1344,1876,1212,70,53,47
